GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,GEOID,NAME_E,totPop,nonhisp_total,nonhisp_white,nonhisp_black,nonhisp_native,nonhisp_asian,nonhisp_islander,nonhisp_other,nonhisp_multiracial,AMP3E010,AMP3E011,hisp_total,hisp_white,hisp_black,hisp_native,hisp_asian,hisp_islander,hisp_other,hisp_multiracial,AMP3E020,AMP3E021,median_household_income
G1200010000201,2016-2020,FL,Florida,12,Alachua County,001,000201,NA,14000US12001000201,"Census Tract 2.01, Alachua County, Florida",3748,2990,2161,468,0,325,17,0,19,0,19,758,273,6,0,0,0,24,455,168,287,NA
G1200010000202,2016-2020,FL,Florida,12,Alachua County,001,000202,NA,14000US12001000202,"Census Tract 2.02, Alachua County, Florida",3954,3308,2756,359,0,164,0,0,29,1,28,646,499,0,0,0,0,9,138,73,65,11477
G1200010000301,2016-2020,FL,Florida,12,Alachua County,001,000301,NA,14000US12001000301,"Census Tract 3.01, Alachua County, Florida",4308,4041,2370,1419,13,110,0,0,129,0,129,267,111,0,0,0,0,49,107,65,42,36271
G1200010000302,2016-2020,FL,Florida,12,Alachua County,001,000302,NA,14000US12001000302,"Census Tract 3.02, Alachua County, Florida",2167,1759,1225,479,4,4,0,8,39,0,39,408,214,110,0,0,0,45,39,28,11,36367
G1200010000400,2016-2020,FL,Florida,12,Alachua County,001,000400,NA,14000US12001000400,"Census Tract 4, Alachua County, Florida",5866,5367,2308,2195,37,220,8,88,511,0,511,499,312,0,15,0,0,0,172,52,120,41402
G1200010000500,2016-2020,FL,Florida,12,Alachua County,001,000500,NA,14000US12001000500,"Census Tract 5, Alachua County, Florida",4640,4283,3494,627,0,93,0,0,69,0,69,357,283,0,0,0,0,74,0,0,0,50069
G1200010000600,2016-2020,FL,Florida,12,Alachua County,001,000600,NA,14000US12001000600,"Census Tract 6, Alachua County, Florida",5343,5267,239,4901,0,7,0,0,120,0,120,76,23,0,0,0,0,0,53,1,52,23682
G1200010000700,2016-2020,FL,Florida,12,Alachua County,001,000700,NA,14000US12001000700,"Census Tract 7, Alachua County, Florida",6854,6385,2090,4240,0,0,0,37,18,0,18,469,250,0,0,0,0,219,0,0,0,37293
G1200010000806,2016-2020,FL,Florida,12,Alachua County,001,000806,NA,14000US12001000806,"Census Tract 8.06, Alachua County, Florida",2815,2542,1615,115,0,656,0,45,111,0,111,273,188,0,0,0,0,29,56,26,30,22198
G1200010000808,2016-2020,FL,Florida,12,Alachua County,001,000808,NA,14000US12001000808,"Census Tract 8.08, Alachua County, Florida",3224,2614,1332,940,31,213,0,15,83,0,83,610,343,123,0,0,0,13,131,11,120,35417
G1200010000809,2016-2020,FL,Florida,12,Alachua County,001,000809,NA,14000US12001000809,"Census Tract 8.09, Alachua County, Florida",1123,1024,703,137,13,114,0,0,57,0,57,99,55,0,0,8,0,27,9,9,0,32411
G1200010000901,2016-2020,FL,Florida,12,Alachua County,001,000901,NA,14000US12001000901,"Census Tract 9.01, Alachua County, Florida",3602,3039,1994,343,9,583,3,22,85,0,85,563,420,0,0,0,0,8,135,115,20,23397
G1200010000902,2016-2020,FL,Florida,12,Alachua County,001,000902,NA,14000US12001000902,"Census Tract 9.02, Alachua County, Florida",6681,5495,4022,685,0,516,5,0,267,0,267,1186,970,12,0,0,0,35,169,164,5,2499
G1200010001000,2016-2020,FL,Florida,12,Alachua County,001,001000,NA,14000US12001001000,"Census Tract 10, Alachua County, Florida",6579,5810,5353,105,10,75,14,0,253,0,253,769,541,16,57,16,0,39,100,100,0,37414
G1200010001100,2016-2020,FL,Florida,12,Alachua County,001,001100,NA,14000US12001001100,"Census Tract 11, Alachua County, Florida",6489,6026,4936,408,0,266,0,0,416,322,94,463,342,19,0,0,0,0,102,56,46,88185
G1200010001201,2016-2020,FL,Florida,12,Alachua County,001,001201,NA,14000US12001001201,"Census Tract 12.01, Alachua County, Florida",3470,3296,2486,435,0,91,0,20,264,52,212,174,123,0,7,0,0,44,0,0,0,55208
G1200010001202,2016-2020,FL,Florida,12,Alachua County,001,001202,NA,14000US12001001202,"Census Tract 12.02, Alachua County, Florida",8071,7028,5083,1090,26,248,0,39,542,0,542,1043,710,22,0,0,0,73,238,196,42,70106
G1200010001203,2016-2020,FL,Florida,12,Alachua County,001,001203,NA,14000US12001001203,"Census Tract 12.03, Alachua County, Florida",3526,3033,2020,483,37,200,64,0,229,90,139,493,332,8,67,31,0,45,10,0,10,44181
G1200010001400,2016-2020,FL,Florida,12,Alachua County,001,001400,NA,14000US12001001400,"Census Tract 14, Alachua County, Florida",4915,4798,1710,2841,25,0,0,0,222,0,222,117,50,31,0,0,0,13,23,14,9,47981
G1200010001514,2016-2020,FL,Florida,12,Alachua County,001,001514,NA,14000US12001001514,"Census Tract 15.14, Alachua County, Florida",1742,1432,1001,99,17,262,0,36,17,0,17,310,217,0,0,0,0,66,27,27,0,27938
G1200010001515,2016-2020,FL,Florida,12,Alachua County,001,001515,NA,14000US12001001515,"Census Tract 15.15, Alachua County, Florida",5182,4554,2989,803,10,575,0,90,87,0,87,628,389,0,0,0,0,18,221,118,103,20233
G1200010001516,2016-2020,FL,Florida,12,Alachua County,001,001516,NA,14000US12001001516,"Census Tract 15.16, Alachua County, Florida",2238,1882,1168,238,6,352,18,0,100,0,100,356,167,12,0,0,0,7,170,99,71,21917
G1200010001517,2016-2020,FL,Florida,12,Alachua County,001,001517,NA,14000US12001001517,"Census Tract 15.17, Alachua County, Florida",5298,4368,2577,332,6,1226,6,17,204,0,204,930,663,0,0,7,0,136,124,85,39,28299
G1200010001519,2016-2020,FL,Florida,12,Alachua County,001,001519,NA,14000US12001001519,"Census Tract 15.19, Alachua County, Florida",2252,1911,774,270,29,787,0,9,42,0,42,341,280,12,0,0,0,49,0,0,0,23103
G1200010001522,2016-2020,FL,Florida,12,Alachua County,001,001522,NA,14000US12001001522,"Census Tract 15.22, Alachua County, Florida",6674,5412,3343,1345,40,346,0,17,321,170,151,1262,822,62,0,0,0,198,180,136,44,25646
G1200010001605,2016-2020,FL,Florida,12,Alachua County,001,001605,NA,14000US12001001605,"Census Tract 16.05, Alachua County, Florida",9211,7939,5881,1326,55,268,0,131,278,54,224,1272,866,0,0,29,0,33,344,198,146,37256
G1200010001701,2016-2020,FL,Florida,12,Alachua County,001,001701,NA,14000US12001001701,"Census Tract 17.01, Alachua County, Florida",5565,4938,3552,1065,0,308,0,0,13,0,13,627,371,0,0,0,0,209,47,47,0,50406
G1200010001702,2016-2020,FL,Florida,12,Alachua County,001,001702,NA,14000US12001001702,"Census Tract 17.02, Alachua County, Florida",5854,4854,4340,403,0,55,0,0,56,0,56,1000,584,0,0,0,0,49,367,122,245,69598
G1200010001802,2016-2020,FL,Florida,12,Alachua County,001,001802,NA,14000US12001001802,"Census Tract 18.02, Alachua County, Florida",2751,2491,1392,989,0,37,0,0,73,0,73,260,91,1,0,0,0,40,128,100,28,26759
G1200010001803,2016-2020,FL,Florida,12,Alachua County,001,001803,NA,14000US12001001803,"Census Tract 18.03, Alachua County, Florida",6452,5590,3135,1733,0,481,0,0,241,0,241,862,661,38,0,0,0,35,128,64,64,58352
G1200010001811,2016-2020,FL,Florida,12,Alachua County,001,001811,NA,14000US12001001811,"Census Tract 18.11, Alachua County, Florida",6789,5668,3841,967,38,499,0,0,323,0,323,1121,676,36,0,0,0,60,349,247,102,57636
G1200010001813,2016-2020,FL,Florida,12,Alachua County,001,001813,NA,14000US12001001813,"Census Tract 18.13, Alachua County, Florida",4071,3769,2987,342,0,372,0,0,68,3,65,302,236,0,0,0,0,4,62,62,0,89110
G1200010001815,2016-2020,FL,Florida,12,Alachua County,001,001815,NA,14000US12001001815,"Census Tract 18.15, Alachua County, Florida",2045,1672,1479,134,0,7,0,0,52,0,52,373,108,0,0,0,0,95,170,170,0,64375
G1200010001816,2016-2020,FL,Florida,12,Alachua County,001,001816,NA,14000US12001001816,"Census Tract 18.16, Alachua County, Florida",5043,4677,3039,1370,0,108,0,59,101,0,101,366,207,131,0,0,0,0,28,0,28,54700
G1200010001817,2016-2020,FL,Florida,12,Alachua County,001,001817,NA,14000US12001001817,"Census Tract 18.17, Alachua County, Florida",4598,4455,3525,863,5,56,0,0,6,0,6,143,58,14,0,0,0,25,46,46,0,77405
G1200010001818,2016-2020,FL,Florida,12,Alachua County,001,001818,NA,14000US12001001818,"Census Tract 18.18, Alachua County, Florida",4936,4379,3957,258,0,0,0,0,164,0,164,557,416,10,68,0,0,28,35,12,23,62593
G1200010001819,2016-2020,FL,Florida,12,Alachua County,001,001819,NA,14000US12001001819,"Census Tract 18.19, Alachua County, Florida",4060,3773,3003,741,0,29,0,0,0,0,0,287,287,0,0,0,0,0,0,0,0,63380
G1200010001902,2016-2020,FL,Florida,12,Alachua County,001,001902,NA,14000US12001001902,"Census Tract 19.02, Alachua County, Florida",3701,3535,1370,2015,23,0,0,0,127,0,127,166,153,13,0,0,0,0,0,0,0,21854
G1200010001907,2016-2020,FL,Florida,12,Alachua County,001,001907,NA,14000US12001001907,"Census Tract 19.07, Alachua County, Florida",2860,2668,2360,250,13,13,3,0,29,0,29,192,175,0,0,0,0,17,0,0,0,48076
G1200010001908,2016-2020,FL,Florida,12,Alachua County,001,001908,NA,14000US12001001908,"Census Tract 19.08, Alachua County, Florida",5228,5096,3278,1518,19,213,0,0,68,0,68,132,58,39,0,0,0,35,0,0,0,42065
G1200010002001,2016-2020,FL,Florida,12,Alachua County,001,002001,NA,14000US12001002001,"Census Tract 20.01, Alachua County, Florida",1632,1463,1303,135,25,0,0,0,0,0,0,169,99,0,0,0,0,41,29,29,0,30458
G1200010002002,2016-2020,FL,Florida,12,Alachua County,001,002002,NA,14000US12001002002,"Census Tract 20.02, Alachua County, Florida",4322,4283,2571,1421,0,142,0,2,147,0,147,39,22,0,0,0,0,6,11,11,0,38897
G1200010002101,2016-2020,FL,Florida,12,Alachua County,001,002101,NA,14000US12001002101,"Census Tract 21.01, Alachua County, Florida",2070,1995,1658,324,4,0,0,0,9,0,9,75,42,16,0,0,0,0,17,14,3,67018
G1200010002102,2016-2020,FL,Florida,12,Alachua County,001,002102,NA,14000US12001002102,"Census Tract 21.02, Alachua County, Florida",969,911,723,171,0,1,0,0,16,0,16,58,53,0,0,0,0,0,5,0,5,30764
G1200010002201,2016-2020,FL,Florida,12,Alachua County,001,002201,NA,14000US12001002201,"Census Tract 22.01, Alachua County, Florida",6009,5847,4328,1151,0,35,0,0,333,45,288,162,64,0,0,0,0,17,81,53,28,71820
G1200010002202,2016-2020,FL,Florida,12,Alachua County,001,002202,NA,14000US12001002202,"Census Tract 22.02, Alachua County, Florida",6230,6074,4876,1089,0,61,0,0,48,0,48,156,146,0,0,0,0,0,10,10,0,70286
G1200010002204,2016-2020,FL,Florida,12,Alachua County,001,002204,NA,14000US12001002204,"Census Tract 22.04, Alachua County, Florida",11001,10497,7956,626,11,1685,3,106,110,0,110,504,504,0,0,0,0,0,0,0,0,80351
G1200010002207,2016-2020,FL,Florida,12,Alachua County,001,002207,NA,14000US12001002207,"Census Tract 22.07, Alachua County, Florida",3988,3758,2825,364,1,480,0,0,88,0,88,230,137,0,0,0,0,28,65,65,0,108594
G1200010002208,2016-2020,FL,Florida,12,Alachua County,001,002208,NA,14000US12001002208,"Census Tract 22.08, Alachua County, Florida",3088,2745,2323,175,4,243,0,0,0,0,0,343,195,0,0,0,0,43,105,95,10,107500
G1200010002209,2016-2020,FL,Florida,12,Alachua County,001,002209,NA,14000US12001002209,"Census Tract 22.09, Alachua County, Florida",9018,8143,5963,782,37,1031,0,0,330,14,316,875,703,15,0,0,0,6,151,97,54,91319
G1200010002210,2016-2020,FL,Florida,12,Alachua County,001,002210,NA,14000US12001002210,"Census Tract 22.10, Alachua County, Florida",4856,4346,3463,757,10,0,0,0,116,10,106,510,347,14,0,0,0,100,49,48,1,66375
G1200010002217,2016-2020,FL,Florida,12,Alachua County,001,002217,NA,14000US12001002217,"Census Tract 22.17, Alachua County, Florida",5524,4535,1699,2374,29,105,0,248,80,0,80,989,674,35,0,0,0,173,107,107,0,40397
G1200010002218,2016-2020,FL,Florida,12,Alachua County,001,002218,NA,14000US12001002218,"Census Tract 22.18, Alachua County, Florida",1610,1388,534,770,4,22,0,0,58,10,48,222,115,0,0,0,0,39,68,25,43,36414
G1200010002219,2016-2020,FL,Florida,12,Alachua County,001,002219,NA,14000US12001002219,"Census Tract 22.19, Alachua County, Florida",6508,5592,2918,2002,15,562,5,0,90,0,90,916,580,13,0,0,0,177,146,110,36,54643
G1200010002220,2016-2020,FL,Florida,12,Alachua County,001,002220,NA,14000US12001002220,"Census Tract 22.20, Alachua County, Florida",2379,2182,1726,443,8,0,0,5,0,0,0,197,173,0,0,0,0,0,24,24,0,58859
G1200010002221,2016-2020,FL,Florida,12,Alachua County,001,002221,NA,14000US12001002221,"Census Tract 22.21, Alachua County, Florida",6212,5931,3804,1098,11,988,0,0,30,0,30,281,281,0,0,0,0,0,0,0,0,74089
G1200010002222,2016-2020,FL,Florida,12,Alachua County,001,002222,NA,14000US12001002222,"Census Tract 22.22, Alachua County, Florida",6651,6077,4858,21,43,882,0,85,188,0,188,574,325,0,0,0,0,117,132,117,15,135469
G1200010110800,2016-2020,FL,Florida,12,Alachua County,001,110800,NA,14000US12001110800,"Census Tract 1108, Alachua County, Florida",2113,1929,1681,160,10,51,1,0,26,0,26,184,111,0,0,0,0,21,52,37,15,76576
G1200030040101,2016-2020,FL,Florida,12,Baker County,003,040101,NA,14000US12003040101,"Census Tract 401.01, Baker County, Florida",7271,7199,5479,1591,42,3,0,0,84,0,84,72,13,0,0,0,0,13,46,46,0,62451
G1200030040102,2016-2020,FL,Florida,12,Baker County,003,040102,NA,14000US12003040102,"Census Tract 401.02, Baker County, Florida",6779,6600,5766,728,17,23,0,0,66,0,66,179,112,40,0,0,0,27,0,0,0,70200
G1200030040201,2016-2020,FL,Florida,12,Baker County,003,040201,NA,14000US12003040201,"Census Tract 402.01, Baker County, Florida",8369,8176,5680,1729,21,0,10,0,736,558,178,193,102,27,0,0,0,30,34,0,34,61032
G1200030040202,2016-2020,FL,Florida,12,Baker County,003,040202,NA,14000US12003040202,"Census Tract 402.02, Baker County, Florida",6260,5933,5690,59,0,24,0,19,141,0,141,327,131,0,0,0,0,32,164,164,0,59967
G1200050000201,2016-2020,FL,Florida,12,Bay County,005,000201,NA,14000US12005000201,"Census Tract 2.01, Bay County, Florida",4877,4707,4521,0,24,100,0,13,49,0,49,170,170,0,0,0,0,0,0,0,0,57308
G1200050000203,2016-2020,FL,Florida,12,Bay County,005,000203,NA,14000US12005000203,"Census Tract 2.03, Bay County, Florida",2531,2417,2381,0,20,0,0,0,16,0,16,114,101,0,0,0,0,13,0,0,0,36500
G1200050000204,2016-2020,FL,Florida,12,Bay County,005,000204,NA,14000US12005000204,"Census Tract 2.04, Bay County, Florida",3278,3091,2868,0,0,24,0,0,199,0,199,187,187,0,0,0,0,0,0,0,0,66556
G1200050000301,2016-2020,FL,Florida,12,Bay County,005,000301,NA,14000US12005000301,"Census Tract 3.01, Bay County, Florida",2478,2434,2434,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,31211
G1200050000302,2016-2020,FL,Florida,12,Bay County,005,000302,NA,14000US12005000302,"Census Tract 3.02, Bay County, Florida",5278,4862,4566,159,8,2,0,0,127,86,41,416,202,9,50,0,0,7,148,47,101,62475
G1200050000401,2016-2020,FL,Florida,12,Bay County,005,000401,NA,14000US12005000401,"Census Tract 4.01, Bay County, Florida",2036,1999,1919,0,0,36,0,0,44,0,44,37,0,0,0,0,0,0,37,0,37,47946
G1200050000402,2016-2020,FL,Florida,12,Bay County,005,000402,NA,14000US12005000402,"Census Tract 4.02, Bay County, Florida",6742,6558,5859,37,0,240,0,0,422,0,422,184,145,0,0,0,0,9,30,30,0,83591
G1200050000500,2016-2020,FL,Florida,12,Bay County,005,000500,NA,14000US12005000500,"Census Tract 5, Bay County, Florida",6857,6066,4822,895,61,105,49,22,112,0,112,791,550,29,0,0,0,121,91,62,29,62688
G1200050000600,2016-2020,FL,Florida,12,Bay County,005,000600,NA,14000US12005000600,"Census Tract 6, Bay County, Florida",1370,1302,1206,0,5,33,0,0,58,0,58,68,56,0,0,7,0,5,0,0,0,59911
G1200050000700,2016-2020,FL,Florida,12,Bay County,005,000700,NA,14000US12005000700,"Census Tract 7, Bay County, Florida",2072,1748,1247,321,0,96,0,0,84,11,73,324,242,10,6,0,0,13,53,4,49,66116
G1200050000803,2016-2020,FL,Florida,12,Bay County,005,000803,NA,14000US12005000803,"Census Tract 8.03, Bay County, Florida",5405,4423,2845,692,37,247,0,359,243,0,243,982,759,58,0,0,0,165,0,0,0,38852
G1200050000804,2016-2020,FL,Florida,12,Bay County,005,000804,NA,14000US12005000804,"Census Tract 8.04, Bay County, Florida",2712,2565,1954,290,14,74,0,0,233,0,233,147,134,0,0,0,0,0,13,13,0,68125
G1200050000805,2016-2020,FL,Florida,12,Bay County,005,000805,NA,14000US12005000805,"Census Tract 8.05, Bay County, Florida",4462,4180,3325,569,0,153,0,29,104,0,104,282,105,0,0,0,0,177,0,0,0,64258
G1200050000806,2016-2020,FL,Florida,12,Bay County,005,000806,NA,14000US12005000806,"Census Tract 8.06, Bay County, Florida",3197,2884,2222,211,20,132,0,23,276,0,276,313,179,0,0,0,0,0,134,134,0,56147
G1200050000900,2016-2020,FL,Florida,12,Bay County,005,000900,NA,14000US12005000900,"Census Tract 9, Bay County, Florida",4363,4132,3237,777,0,83,0,0,35,0,35,231,218,0,0,0,0,12,1,1,0,55020
G1200050001000,2016-2020,FL,Florida,12,Bay County,005,001000,NA,14000US12005001000,"Census Tract 10, Bay County, Florida",2261,2062,1201,562,0,195,62,0,42,0,42,199,153,7,0,0,9,14,16,16,0,40132
G1200050001100,2016-2020,FL,Florida,12,Bay County,005,001100,NA,14000US12005001100,"Census Tract 11, Bay County, Florida",5146,4929,2952,1402,0,148,0,38,389,43,346,217,127,0,0,0,0,59,31,17,14,42006
G1200050001200,2016-2020,FL,Florida,12,Bay County,005,001200,NA,14000US12005001200,"Census Tract 12, Bay County, Florida",3178,3068,1686,1046,0,94,0,64,178,0,178,110,22,0,0,0,0,0,88,88,0,43240
G1200050001301,2016-2020,FL,Florida,12,Bay County,005,001301,NA,14000US12005001301,"Census Tract 13.01, Bay County, Florida",5514,5080,3858,656,8,153,0,0,405,0,405,434,208,0,0,0,0,56,170,159,11,80026
G1200050001302,2016-2020,FL,Florida,12,Bay County,005,001302,NA,14000US12005001302,"Census Tract 13.02, Bay County, Florida",6504,6361,4971,528,0,295,33,0,534,0,534,143,127,0,0,0,16,0,0,0,0,44079
G1200050001402,2016-2020,FL,Florida,12,Bay County,005,001402,NA,14000US12005001402,"Census Tract 14.02, Bay County, Florida",7331,7019,6327,575,20,43,0,0,54,0,54,312,209,0,0,0,0,9,94,84,10,83516
G1200050001403,2016-2020,FL,Florida,12,Bay County,005,001403,NA,14000US12005001403,"Census Tract 14.03, Bay County, Florida",2356,2185,1935,16,0,0,0,0,234,130,104,171,101,0,0,0,0,36,34,0,34,53935
G1200050001404,2016-2020,FL,Florida,12,Bay County,005,001404,NA,14000US12005001404,"Census Tract 14.04, Bay County, Florida",8134,7492,6378,938,0,83,0,0,93,0,93,642,463,0,0,0,0,154,25,25,0,67925
G1200050001501,2016-2020,FL,Florida,12,Bay County,005,001501,NA,14000US12005001501,"Census Tract 15.01, Bay County, Florida",5957,5611,4643,577,0,45,0,0,346,0,346,346,289,0,0,0,0,33,24,4,20,68025
G1200050001502,2016-2020,FL,Florida,12,Bay County,005,001502,NA,14000US12005001502,"Census Tract 15.02, Bay County, Florida",6034,5579,4719,507,54,40,57,0,202,0,202,455,388,7,0,0,0,0,60,60,0,70253
G1200050001600,2016-2020,FL,Florida,12,Bay County,005,001600,NA,14000US12005001600,"Census Tract 16, Bay County, Florida",2787,2763,812,1951,0,0,0,0,0,0,0,24,18,0,0,0,0,6,0,0,0,24677
G1200050001700,2016-2020,FL,Florida,12,Bay County,005,001700,NA,14000US12005001700,"Census Tract 17, Bay County, Florida",2454,2384,984,1308,0,35,0,0,57,0,57,70,24,0,0,0,0,0,46,0,46,39000
G1200050001800,2016-2020,FL,Florida,12,Bay County,005,001800,NA,14000US12005001800,"Census Tract 18, Bay County, Florida",1510,1332,994,112,0,96,0,0,130,0,130,178,163,15,0,0,0,0,0,0,0,31750
G1200050001900,2016-2020,FL,Florida,12,Bay County,005,001900,NA,14000US12005001900,"Census Tract 19, Bay County, Florida",4499,4280,3903,140,0,10,0,43,184,0,184,219,125,33,0,0,0,8,53,12,41,65282
G1200050002000,2016-2020,FL,Florida,12,Bay County,005,002000,NA,14000US12005002000,"Census Tract 20, Bay County, Florida",1540,1500,1021,392,6,0,10,6,65,0,65,40,14,0,0,0,0,5,21,0,21,27147
G1200050002200,2016-2020,FL,Florida,12,Bay County,005,002200,NA,14000US12005002200,"Census Tract 22, Bay County, Florida",4769,3856,1945,1495,21,17,0,212,166,6,160,913,602,0,0,0,0,311,0,0,0,37500
G1200050002300,2016-2020,FL,Florida,12,Bay County,005,002300,NA,14000US12005002300,"Census Tract 23, Bay County, Florida",3868,3705,3172,436,46,14,0,0,37,0,37,163,27,35,0,0,0,101,0,0,0,50091
G1200050002400,2016-2020,FL,Florida,12,Bay County,005,002400,NA,14000US12005002400,"Census Tract 24, Bay County, Florida",3565,3191,2306,495,0,57,0,0,333,0,333,374,324,0,0,0,0,0,50,0,50,36327
G1200050002500,2016-2020,FL,Florida,12,Bay County,005,002500,NA,14000US12005002500,"Census Tract 25, Bay County, Florida",3148,2913,2596,58,0,92,0,23,144,0,144,235,154,0,0,0,0,81,0,0,0,88176
G1200050002604,2016-2020,FL,Florida,12,Bay County,005,002604,NA,14000US12005002604,"Census Tract 26.04, Bay County, Florida",8447,8193,7176,297,45,433,0,0,242,0,242,254,235,0,0,0,0,19,0,0,0,51894
G1200050002605,2016-2020,FL,Florida,12,Bay County,005,002605,NA,14000US12005002605,"Census Tract 26.05, Bay County, Florida",1771,1612,1398,107,20,29,0,0,58,0,58,159,144,0,0,0,0,15,0,0,0,72637
G1200050002606,2016-2020,FL,Florida,12,Bay County,005,002606,NA,14000US12005002606,"Census Tract 26.06, Bay County, Florida",1584,1447,1327,13,0,45,0,0,62,13,49,137,97,5,0,0,0,35,0,0,0,68462
G1200050002607,2016-2020,FL,Florida,12,Bay County,005,002607,NA,14000US12005002607,"Census Tract 26.07, Bay County, Florida",1354,1300,1138,95,0,0,0,16,51,0,51,54,41,0,0,0,0,13,0,0,0,50481
G1200050002608,2016-2020,FL,Florida,12,Bay County,005,002608,NA,14000US12005002608,"Census Tract 26.08, Bay County, Florida",3803,3757,3535,7,0,68,17,0,130,0,130,46,46,0,0,0,0,0,0,0,0,94111
G1200050002609,2016-2020,FL,Florida,12,Bay County,005,002609,NA,14000US12005002609,"Census Tract 26.09, Bay County, Florida",5864,5354,4609,282,16,151,5,36,255,0,255,510,381,0,0,0,0,42,87,54,33,59206
G1200050002703,2016-2020,FL,Florida,12,Bay County,005,002703,NA,14000US12005002703,"Census Tract 27.03, Bay County, Florida",2413,2253,1914,193,35,94,0,0,17,0,17,160,80,0,0,0,0,55,25,9,16,66484
G1200050002706,2016-2020,FL,Florida,12,Bay County,005,002706,NA,14000US12005002706,"Census Tract 27.06, Bay County, Florida",2229,2165,1995,0,0,0,0,0,170,0,170,64,60,0,0,0,0,0,4,4,0,57981
G1200050002707,2016-2020,FL,Florida,12,Bay County,005,002707,NA,14000US12005002707,"Census Tract 27.07, Bay County, Florida",2649,2614,2589,14,0,11,0,0,0,0,0,35,0,0,0,35,0,0,0,0,0,76346
G1200050002708,2016-2020,FL,Florida,12,Bay County,005,002708,NA,14000US12005002708,"Census Tract 27.08, Bay County, Florida",808,576,539,0,0,0,0,0,37,0,37,232,116,0,0,0,0,104,12,12,0,43182
G1200050002709,2016-2020,FL,Florida,12,Bay County,005,002709,NA,14000US12005002709,"Census Tract 27.09, Bay County, Florida",2244,2208,1993,50,13,91,0,40,21,0,21,36,23,0,0,0,0,13,0,0,0,66076
G1200050002710,2016-2020,FL,Florida,12,Bay County,005,002710,NA,14000US12005002710,"Census Tract 27.10, Bay County, Florida",4083,3580,2857,666,0,0,0,0,57,0,57,503,286,0,18,0,0,133,66,66,0,54958
G1200050002711,2016-2020,FL,Florida,12,Bay County,005,002711,NA,14000US12005002711,"Census Tract 27.11, Bay County, Florida",2520,2456,1912,87,0,367,0,0,90,67,23,64,64,0,0,0,0,0,0,0,0,71397
G1200050002712,2016-2020,FL,Florida,12,Bay County,005,002712,NA,14000US12005002712,"Census Tract 27.12, Bay County, Florida",1279,1181,1010,137,0,0,0,17,17,0,17,98,79,0,0,0,0,0,19,0,19,58783
G1200050002713,2016-2020,FL,Florida,12,Bay County,005,002713,NA,14000US12005002713,"Census Tract 27.13, Bay County, Florida",815,755,720,0,0,0,0,0,35,0,35,60,27,0,0,0,0,9,24,24,0,60282
G1200050990000,2016-2020,FL,Florida,12,Bay County,005,990000,NA,14000US12005990000,"Census Tract 9900, Bay County, Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
G1200070000100,2016-2020,FL,Florida,12,Bradford County,007,000100,NA,14000US12007000100,"Census Tract 1, Bradford County, Florida",5882,5560,3515,1861,17,39,0,0,128,22,106,322,296,0,0,0,0,26,0,0,0,40919
G1200070000201,2016-2020,FL,Florida,12,Bradford County,007,000201,NA,14000US12007000201,"Census Tract 2.01, Bradford County, Florida",4908,4517,2975,1439,28,0,0,49,26,7,19,391,335,16,0,0,0,40,0,0,0,45556
G1200070000202,2016-2020,FL,Florida,12,Bradford County,007,000202,NA,14000US12007000202,"Census Tract 2.02, Bradford County, Florida",3351,3190,2311,798,19,0,0,0,62,0,62,161,161,0,0,0,0,0,0,0,0,40556
G1200070000301,2016-2020,FL,Florida,12,Bradford County,007,000301,NA,14000US12007000301,"Census Tract 3.01, Bradford County, Florida",3729,3563,3373,17,0,126,0,0,47,0,47,166,147,0,0,0,0,0,19,0,19,58141
G1200070000302,2016-2020,FL,Florida,12,Bradford County,007,000302,NA,14000US12007000302,"Census Tract 3.02, Bradford County, Florida",3661,3648,3555,82,0,6,0,0,5,0,5,13,13,0,0,0,0,0,0,0,0,44077
G1200070000400,2016-2020,FL,Florida,12,Bradford County,007,000400,NA,14000US12007000400,"Census Tract 4, Bradford County, Florida",6192,6040,4511,1433,30,12,0,0,54,2,52,152,139,5,4,0,0,4,0,0,0,47857
G1200090060103,2016-2020,FL,Florida,12,Brevard County,009,060103,NA,14000US12009060103,"Census Tract 601.03, Brevard County, Florida",2397,2303,2303,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,94,0,94,54181
G1200090060104,2016-2020,FL,Florida,12,Brevard County,009,060104,NA,14000US12009060104,"Census Tract 601.04, Brevard County, Florida",1398,1388,1343,0,0,45,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,43622
G1200090060105,2016-2020,FL,Florida,12,Brevard County,009,060105,NA,14000US12009060105,"Census Tract 601.05, Brevard County, Florida",2640,2628,1731,753,0,13,0,0,131,0,131,12,12,0,0,0,0,0,0,0,0,36326
G1200090060106,2016-2020,FL,Florida,12,Brevard County,009,060106,NA,14000US12009060106,"Census Tract 601.06, Brevard County, Florida",1527,1504,1424,38,0,0,0,0,42,0,42,23,23,0,0,0,0,0,0,0,0,77639
G1200090060201,2016-2020,FL,Florida,12,Brevard County,009,060201,NA,14000US12009060201,"Census Tract 602.01, Brevard County, Florida",2546,2426,2191,214,0,21,0,0,0,0,0,120,120,0,0,0,0,0,0,0,0,65000
