GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMP3E001,AMP3E002,AMP3E003,AMP3E004,AMP3E005,AMP3E006,AMP3E007,AMP3E008,AMP3E009,AMP3E010,AMP3E011,AMP3E012,AMP3E013,AMP3E014,AMP3E015,AMP3E016,AMP3E017,AMP3E018,AMP3E019,AMP3E020,AMP3E021,AMR8E001,NAME_M,AMP3M001,AMP3M002,AMP3M003,AMP3M004,AMP3M005,AMP3M006,AMP3M007,AMP3M008,AMP3M009,AMP3M010,AMP3M011,AMP3M012,AMP3M013,AMP3M014,AMP3M015,AMP3M016,AMP3M017,AMP3M018,AMP3M019,AMP3M020,AMP3M021,AMR8M001
"G0100010","2016-2020","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",55639,54038,41160,10849,155,649,0,101,1124,54,1070,1601,990,17,0,0,24,273,297,292,5,57982,"Autauga County, Alabama",,,78,345,102,174,29,145,374,57,374,,195,29,29,29,37,242,159,160,12,4839
"G0100030","2016-2020","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",218289,208342,180955,19027,1327,2033,10,740,4250,299,3951,9947,5549,126,187,0,0,2658,1427,1220,207,61756,"Baldwin County, Alabama",,,654,744,371,352,16,534,871,231,854,,845,110,184,29,29,709,493,431,203,2268
"G0100050","2016-2020","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",25026,23916,11332,11889,81,122,1,157,334,44,290,1110,255,40,7,0,0,620,188,188,0,34990,"Barbour County, Alabama",,,83,179,63,25,2,110,149,47,142,,150,33,12,23,23,183,79,79,23,2909
"G0100070","2016-2020","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",22374,21774,16650,4971,12,56,0,0,85,0,85,600,488,74,0,0,0,9,29,0,29,51721,"Bibb County, Alabama",,,23,111,25,81,23,23,67,23,67,,95,76,23,23,23,19,42,23,42,6237
"G0100090","2016-2020","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",57755,52393,50065,771,49,236,55,179,1038,107,931,5362,4206,37,6,0,0,858,255,157,98,48922,"Blount County, Alabama",,,250,167,41,41,60,225,181,95,160,,443,38,13,29,29,404,219,185,131,2269
"G0100110","2016-2020","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",10173,9349,2162,6980,0,137,0,2,68,0,68,824,501,0,0,0,0,316,7,7,0,33866,"Bullock County, Alabama",,,19,140,19,117,19,4,76,19,76,,324,19,19,19,19,324,13,13,19,10094
"G0100130","2016-2020","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",19726,19436,10125,8773,66,261,0,0,211,0,211,290,58,22,0,0,0,98,112,93,19,44850,"Butler County, Alabama",,,19,76,52,41,19,19,94,19,94,,76,37,19,19,19,104,105,112,37,2891
"G0100150","2016-2020","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",114324,109918,82049,23669,168,919,327,176,2610,63,2547,4406,1752,521,190,6,0,1695,242,199,43,50128,"Calhoun County, Alabama",,,204,380,66,186,135,209,414,74,398,,448,369,236,11,29,433,169,162,39,1964
"G0100170","2016-2020","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",33427,32584,18413,13372,81,368,9,74,267,0,267,843,602,0,0,0,0,190,51,51,0,43875,"Chambers County, Alabama",,,74,127,44,50,16,83,139,26,139,,93,26,26,26,26,119,67,67,26,3861
"G0100190","2016-2020","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",26035,25603,23779,1250,150,26,0,0,398,75,323,432,191,0,0,0,0,212,29,7,22,42509,"Cherokee County, Alabama",,,80,120,124,35,23,23,176,80,162,,123,23,23,23,23,121,39,20,38,3824
"G0100210","2016-2020","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",44147,40724,35283,4268,11,195,0,170,797,3,794,3423,977,0,493,0,0,1401,552,540,12,52141,"Chilton County, Alabama",,,187,420,36,55,26,187,411,9,412,,514,26,390,26,26,502,169,181,43,4263
"G0100230","2016-2020","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",12755,12686,7200,5393,7,25,0,0,61,0,61,69,53,5,0,0,0,11,0,0,0,36634,"Choctaw County, Alabama",,63,19,79,10,32,19,19,53,19,53,63,57,9,19,19,19,20,19,19,19,2639
"G0100250","2016-2020","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",23866,23726,12471,10909,18,109,0,47,172,0,172,140,49,0,0,0,0,0,91,0,91,37345,"Clarke County, Alabama",,124,67,151,27,27,23,67,107,23,107,124,54,23,23,23,23,23,111,23,111,5617
"G0100270","2016-2020","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",13285,12875,10683,2035,0,33,0,5,119,23,96,410,385,0,20,0,0,1,4,4,0,42678,"Clay County, Alabama",,,25,94,19,37,19,17,86,25,77,,33,19,31,19,19,2,8,8,19,3933
"G0100290","2016-2020","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",14952,14572,13845,394,21,1,0,14,297,0,297,380,110,0,0,0,0,267,3,3,0,46320,"Cleburne County, Alabama",,,24,67,28,6,19,24,71,19,71,,85,19,19,19,19,87,9,9,19,4995
"G0100310","2016-2020","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",52238,48227,36368,8538,468,842,0,42,1969,37,1932,4011,2646,368,55,1,0,633,308,226,82,56799,"Coffee County, Alabama",,,59,305,113,287,29,55,464,30,459,,360,221,49,3,29,300,183,156,86,3287
"G0100330","2016-2020","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",54957,53366,42876,8817,299,282,57,32,1003,18,985,1591,403,92,14,0,0,953,129,100,29,47962,"Colbert County, Alabama",,,42,297,144,56,48,35,366,21,369,,180,83,18,29,29,209,84,70,43,3470
"G0100350","2016-2020","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",12219,12160,6117,5872,20,70,0,0,81,0,81,59,59,0,0,0,0,0,0,0,0,35444,"Conecuh County, Alabama",,99,19,129,25,59,19,19,63,19,63,99,99,19,19,19,19,19,19,19,19,3137
"G0100370","2016-2020","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",10696,10559,6924,3451,23,0,0,68,93,0,93,137,128,0,9,0,0,0,0,0,0,43571,"Coosa County, Alabama",,114,98,128,36,19,19,98,52,19,52,114,114,19,14,19,19,19,19,19,19,8028
"G0100390","2016-2020","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",37096,36439,30835,4674,78,190,32,9,621,20,601,657,425,33,0,55,0,124,20,1,19,42566,"Covington County, Alabama",,,37,132,58,20,44,10,146,36,142,,124,38,26,76,26,121,20,3,19,2958
"G0100410","2016-2020","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",13826,13521,9774,3173,90,183,8,0,293,0,293,305,116,94,14,0,0,58,23,23,0,42611,"Crenshaw County, Alabama",,,19,141,50,7,12,19,152,19,152,,76,94,23,19,19,75,36,36,19,2556
"G0100430","2016-2020","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",83345,79669,76163,942,210,304,0,22,2028,487,1541,3676,2132,1,85,0,0,736,722,578,144,48388,"Cullman County, Alabama",,,325,131,151,105,29,30,453,323,251,,428,2,129,29,29,317,355,322,125,2887
"G0100450","2016-2020","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",49293,46008,33598,9955,285,614,0,147,1409,63,1346,3285,1688,238,128,66,0,934,231,43,188,45644,"Dale County, Alabama",,,152,180,87,106,26,147,205,73,198,,290,116,121,124,26,228,136,51,118,3070
"G0100470","2016-2020","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",38184,38076,10334,27253,48,250,5,1,185,0,185,108,60,37,0,0,6,0,5,0,5,33317,"Dallas County, Alabama",,74,3,94,67,3,12,3,87,26,87,74,64,40,26,26,13,26,12,26,12,1786
"G0100490","2016-2020","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",71430,60900,57324,1089,752,52,92,189,1402,0,1402,10530,3230,4,98,24,0,6067,1107,1081,26,42267,"DeKalb County, Alabama",,,25,103,251,51,67,113,269,29,269,,781,6,145,44,29,864,476,485,46,2236
"G0100510","2016-2020","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",81526,79099,59611,17112,241,740,0,145,1250,40,1210,2427,1462,118,0,9,0,443,395,386,9,62324,"Elmore County, Alabama",,,234,262,108,129,29,231,310,40,309,,280,121,29,20,29,277,189,189,18,3475
"G0100530","2016-2020","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",36775,35887,22091,11751,1391,103,43,66,442,9,433,888,666,23,0,0,0,71,128,106,22,35558,"Escambia County, Alabama",,,76,180,91,127,59,76,146,15,143,,137,31,26,26,26,69,120,104,33,2902
"G0100550","2016-2020","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",102721,98534,79697,16056,337,808,3,72,1561,20,1541,4187,1601,463,192,0,0,1228,703,667,36,44934,"Etowah County, Alabama",,,64,214,138,88,5,64,279,24,276,,426,302,99,29,29,365,284,279,34,1643
"G0100570","2016-2020","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",16406,16317,13821,2003,0,108,4,1,380,9,371,89,63,0,0,0,0,0,26,0,26,41469,"Fayette County, Alabama",,83,13,193,19,76,14,2,153,13,152,83,73,19,19,19,19,19,37,19,37,6240
"G0100590","2016-2020","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",31587,26003,24112,1204,69,273,6,7,332,0,332,5584,1905,37,257,0,0,3168,217,177,40,41174,"Franklin County, Alabama",,,24,232,90,229,12,24,109,26,109,,669,57,308,26,26,810,156,148,60,4093
"G0100610","2016-2020","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",26383,25308,21955,2581,296,42,10,95,329,10,319,1075,723,97,16,0,0,171,68,66,2,41569,"Geneva County, Alabama",,,148,159,54,52,12,147,166,19,164,,163,79,21,23,23,120,77,76,8,2055
"G0100630","2016-2020","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",8221,8000,1418,6484,38,0,0,0,60,0,60,221,12,5,0,0,0,39,165,0,165,26688,"Greene County, Alabama",,255,17,305,64,17,17,17,64,17,64,255,20,9,17,17,17,59,235,17,235,3196
"G0100650","2016-2020","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",14754,14744,5668,8722,0,28,0,15,311,164,147,10,0,4,0,0,0,0,6,6,0,30793,"Hale County, Alabama",,11,141,140,19,37,19,33,192,144,132,11,19,6,19,19,19,19,10,10,19,5559
"G0100670","2016-2020","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",17123,16670,11859,4534,34,73,36,0,134,0,134,453,135,19,0,0,0,145,154,148,6,51715,"Henry County, Alabama",,,19,88,34,42,55,19,80,19,80,,163,32,19,19,19,127,116,109,8,3572
"G0100690","2016-2020","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",105319,101768,69340,28542,283,984,4,342,2273,210,2063,3551,2517,135,7,12,12,340,528,437,91,49069,"Houston County, Alabama",,,248,198,62,90,6,213,228,120,214,,198,61,7,9,15,140,133,128,37,1379
"G0100710","2016-2020","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",51765,50224,46198,1883,513,220,35,26,1349,27,1322,1541,1013,25,46,0,0,419,38,38,0,42578,"Jackson County, Alabama",,,18,118,178,56,14,36,209,43,207,,158,36,93,29,29,121,51,51,29,2418
"G0100730","2016-2020","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",658615,632858,326618,281862,710,10330,187,1526,11625,869,10756,25757,12026,676,447,87,0,9431,3090,2504,586,55088,"Jefferson County, Alabama",265,265,457,1274,220,504,42,470,1379,377,1310,3,1237,253,237,89,29,1264,812,741,386,1091
"G0100750","2016-2020","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",13854,13614,11911,1525,12,21,0,11,134,0,134,240,201,0,0,0,0,39,0,0,0,42688,"Lamar County, Alabama",,,18,97,16,27,19,18,90,19,90,,58,19,19,19,19,58,19,19,19,5653
"G0100770","2016-2020","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",92870,90308,78084,9289,338,581,64,95,1857,453,1404,2562,1731,225,0,0,0,192,414,402,12,48428,"Lauderdale County, Alabama",,,472,246,170,90,48,84,580,472,296,,295,226,29,29,29,167,236,240,24,2729
"G0100790","2016-2020","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",32969,32224,25224,3516,1967,40,22,0,1455,49,1406,745,574,4,0,0,0,163,4,0,4,47125,"Lawrence County, Alabama",,,56,216,307,50,34,26,380,56,375,,198,8,26,26,26,200,9,26,9,3694
"G0100810","2016-2020","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",163461,157368,109707,36529,334,6981,0,488,3329,200,3129,6093,4187,592,14,150,7,746,397,303,94,52930,"Lee County, Alabama",,,475,561,150,184,29,422,640,149,616,,446,390,26,134,30,281,192,161,79,3248
"G0100830","2016-2020","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",96921,91081,73499,13020,657,1398,19,40,2448,475,1973,5840,2970,108,240,14,24,2005,479,361,118,64270,"Limestone County, Alabama",,,392,308,134,242,25,65,619,397,466,,579,127,218,23,38,607,272,260,102,4043
"G0100850","2016-2020","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",9936,9896,2450,7417,12,0,0,0,17,0,17,40,14,23,0,0,0,0,3,3,0,33634,"Lowndes County, Alabama",,34,17,46,22,17,17,17,29,17,29,34,21,26,17,17,17,17,7,7,17,5649
"G0100870","2016-2020","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",18437,18357,2973,15109,15,36,0,12,212,0,212,80,27,53,0,0,0,0,0,0,0,35450,"Macon County, Alabama",,77,19,165,16,32,19,18,135,19,135,77,23,73,19,19,19,19,19,19,19,3140
"G0100890","2016-2020","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",367686,349274,236781,89454,1988,9649,287,840,10275,590,9685,18412,10609,995,86,27,19,4883,1793,1190,603,66887,"Madison County, Alabama",,,398,727,309,548,70,341,1026,248,968,,824,373,73,29,21,815,384,352,211,1747
"G0100910","2016-2020","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",19138,18643,8567,9905,24,9,0,0,138,1,137,495,348,2,0,0,0,43,102,102,0,33029,"Marengo County, Alabama",,,2,99,31,15,19,19,92,2,92,,191,3,19,19,19,99,147,147,19,3669
"G0100930","2016-2020","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",29818,29052,27233,1128,136,18,0,0,537,149,388,766,285,0,0,0,0,481,0,0,0,40978,"Marion County, Alabama",,,228,126,46,16,23,23,249,228,130,,135,23,23,23,23,135,23,23,23,3372
"G0100950","2016-2020","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",96137,82541,77368,2677,312,615,36,108,1425,61,1364,13596,9416,149,59,0,0,1817,2155,2001,154,50216,"Marshall County, Alabama",,,121,167,132,65,45,104,221,54,217,,517,159,63,29,29,512,435,407,133,1709
"G0100970","2016-2020","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",413977,401983,233970,148460,2693,7667,61,1506,7626,564,7062,11994,6164,1018,55,61,0,3103,1593,1078,515,49625,"Mobile County, Alabama",,,477,592,394,518,58,668,795,316,745,,837,551,61,80,29,777,509,489,295,1232
"G0100990","2016-2020","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",21006,20932,11373,8918,286,125,12,0,218,0,218,74,52,0,0,0,0,22,0,0,0,31969,"Monroe County, Alabama",,63,23,144,55,23,13,23,137,23,137,63,55,23,23,23,23,28,23,23,23,3733
"G0101010","2016-2020","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",226451,218454,75147,130779,311,6926,23,231,5037,261,4776,7997,3514,380,167,7,0,2710,1219,895,324,51963,"Montgomery County, Alabama",,,116,802,114,329,29,142,833,154,837,,562,161,109,13,29,532,383,343,187,1474
"G0101030","2016-2020","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",119352,109292,89837,14945,492,661,171,225,2961,150,2811,10060,3928,192,14,0,25,4702,1199,1036,163,52923,"Morgan County, Alabama",,,159,480,221,181,190,231,509,144,464,,781,199,21,29,41,772,511,442,240,1858
"G0101050","2016-2020","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",9104,8926,2685,6218,3,8,0,8,4,0,4,178,11,72,0,0,0,95,0,0,0,23875,"Perry County, Alabama",,191,17,190,5,17,17,13,11,17,11,191,18,111,17,17,17,116,17,17,17,2564
"G0101070","2016-2020","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",20049,19060,10752,8005,38,8,0,9,248,3,245,989,632,73,0,0,0,260,24,24,0,40362,"Pickens County, Alabama",,,17,132,47,16,23,17,125,6,125,,132,49,23,23,23,123,35,35,23,2740
"G0101090","2016-2020","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",33274,32510,18591,12395,121,715,3,15,670,0,670,764,639,20,0,0,0,26,79,78,1,39218,"Pike County, Alabama",,,24,148,64,75,5,24,200,26,200,,109,25,26,26,26,36,96,96,3,3492
"G0101110","2016-2020","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",22732,22069,17067,4327,99,49,0,35,492,67,425,663,496,0,0,0,0,141,26,5,21,45141,"Randolph County, Alabama",,,88,124,97,45,23,48,203,77,175,,186,23,23,23,23,183,41,9,41,4482
"G0101130","2016-2020","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",57938,54670,26096,25711,68,617,30,518,1630,128,1502,3268,1579,312,17,59,0,1020,281,281,0,42208,"Russell County, Alabama",,,384,530,63,118,50,356,561,116,554,,501,154,22,89,29,513,259,259,29,2255
"G0101150","2016-2020","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",88929,86752,76137,8391,439,668,18,91,1008,0,1008,2177,1256,8,43,0,0,631,239,231,8,62531,"St. Clair County, Alabama",,,29,281,127,176,32,100,363,29,363,,316,31,66,29,29,379,157,159,20,3275
"G0101170","2016-2020","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",216350,203996,167380,25973,572,4231,43,622,5175,366,4809,12354,5180,240,262,0,0,5199,1473,1136,337,78889,"Shelby County, Alabama",265,265,337,625,160,359,26,302,741,199,705,29,744,331,337,29,29,813,628,567,229,2171
"G0101190","2016-2020","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",12595,12449,3131,8977,8,247,0,39,47,23,24,146,59,10,0,0,0,0,77,77,0,26150,"Sumter County, Alabama",,,32,204,9,220,19,58,37,32,23,,64,20,19,19,19,19,63,63,19,2033
"G0101210","2016-2020","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",80244,78343,50005,25734,282,432,113,79,1698,98,1600,1901,936,170,0,0,38,689,68,22,46,43969,"Talladega County, Alabama",,,81,445,134,106,137,68,496,66,499,,250,151,29,29,60,258,70,35,63,2845
"G0101230","2016-2020","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",40450,39467,27819,10979,51,167,0,11,440,4,436,983,439,199,0,0,0,290,55,50,5,48160,"Tallapoosa County, Alabama",,,8,94,51,91,26,19,128,8,128,,252,136,26,26,26,313,63,60,9,3507
"G0101250","2016-2020","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",208854,200888,127502,67100,303,3430,45,192,2316,228,2088,7966,4795,205,150,5,0,1587,1224,992,232,54283,"Tuscaloosa County, Alabama",,,116,444,129,220,50,202,486,187,405,,708,155,191,9,29,688,286,325,188,1663
"G0101270","2016-2020","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",63802,62145,56327,3849,115,229,0,109,1516,327,1189,1657,815,7,73,9,0,543,210,83,127,45833,"Walker County, Alabama",,,272,199,60,81,29,107,338,256,202,,284,13,78,17,29,254,136,61,122,2723
"G0101290","2016-2020","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",16336,16195,10653,3961,1211,30,0,25,315,0,315,141,128,1,12,0,0,0,0,0,0,42331,"Washington County, Alabama",,162,42,214,132,32,19,42,187,19,187,162,162,3,21,19,19,19,19,19,19,4919
"G0101310","2016-2020","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",10552,10504,2824,7418,8,4,0,0,250,0,250,48,44,0,4,0,0,0,0,0,0,35063,"Wilcox County, Alabama",,63,19,289,7,6,19,19,288,19,288,63,63,19,7,19,19,19,19,19,19,4497
"G0101330","2016-2020","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",23712,22969,22181,193,71,89,16,0,419,31,388,743,482,0,0,0,0,261,0,0,0,40991,"Winston County, Alabama",,,36,98,40,25,20,23,98,36,99,,176,23,23,23,23,176,23,23,23,5537
"G0200130","2016-2020","AK",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02013",,,"Aleutians East Borough, Alaska",3389,3093,450,96,1382,815,11,14,325,52,273,296,50,33,0,0,0,161,52,22,30,75833,"Aleutians East Borough, Alaska",,94,97,70,187,120,11,17,74,50,57,94,36,32,10,10,10,63,32,21,26,10098
"G0200160","2016-2020","AK",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US02016",,,"Aleutians West Census Area, Alaska",5708,4919,1323,167,560,2335,170,2,362,4,358,789,187,0,55,3,0,314,230,218,12,87443,"Aleutians West Census Area, Alaska",,,4,64,44,94,14,4,88,8,89,,63,14,52,3,14,89,75,76,9,4734
