GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,TRBL_SUBA,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,C_NECTAA,NECTADIVA,URB_AREAA,CDA,STLEG_UPA,STLEG_LOA,ZCTAA,SUBMCDA,SD_ELMA,SD_SECA,SD_UNIA,UR,PCI,PUMAA,GEOID,TRBL_CTA,TRBL_BGA,NAME_E,AMP3E001,AMP3E002,AMP3E003,AMP3E004,AMP3E005,AMP3E006,AMP3E007,AMP3E008,AMP3E009,AMP3E010,AMP3E011,AMP3E012,AMP3E013,AMP3E014,AMP3E015,AMP3E016,AMP3E017,AMP3E018,AMP3E019,AMP3E020,AMP3E021,AMR8E001,NAME_M,AMP3M001,AMP3M002,AMP3M003,AMP3M004,AMP3M005,AMP3M006,AMP3M007,AMP3M008,AMP3M009,AMP3M010,AMP3M011,AMP3M012,AMP3M013,AMP3M014,AMP3M015,AMP3M016,AMP3M017,AMP3M018,AMP3M019,AMP3M020,AMP3M021,AMR8M001
"G5600350","2016-2020","WY",,,"Wyoming","56","Sublette County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US56035",,,"Sublette County, Wyoming",9865,9142,8748,1,30,1,0,0,362,42,320,723,669,0,0,0,0,0,54,54,0,78655,"Sublette County, Wyoming",,,72,3,56,7,17,17,96,72,57,,68,17,17,17,17,17,68,68,17,9674
"G5600370","2016-2020","WY",,,"Wyoming","56","Sweetwater County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US56037",,,"Sweetwater County, Wyoming",43352,36435,34147,473,423,324,17,86,965,235,730,6917,5323,36,54,33,16,576,879,652,227,73384,"Sweetwater County, Wyoming",,,258,140,183,127,29,132,364,213,275,,330,57,50,44,21,214,282,218,159,6022
"G5600390","2016-2020","WY",,,"Wyoming","56","Teton County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US56039",,,"Teton County, Wyoming",23356,19907,18969,170,38,334,19,140,237,0,237,3449,1846,1,0,0,0,1407,195,195,0,87053,"Teton County, Wyoming",,,131,114,48,185,34,189,141,23,141,,566,3,23,23,23,566,246,246,23,6492
"G5600410","2016-2020","WY",,,"Wyoming","56","Uinta County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US56041",,,"Uinta County, Wyoming",20374,18445,17793,55,103,39,0,0,455,0,455,1929,1136,0,19,0,0,362,412,107,305,72458,"Uinta County, Wyoming",,,23,36,65,38,23,23,83,23,83,,275,23,28,23,23,202,164,68,182,8889
"G5600430","2016-2020","WY",,,"Wyoming","56","Washakie County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US56043",,,"Washakie County, Wyoming",7933,6799,6487,1,28,0,0,32,251,14,237,1134,411,0,41,0,0,557,125,54,71,57306,"Washakie County, Wyoming",,,37,2,33,17,17,34,41,20,35,,208,17,42,17,17,229,80,65,62,6264
"G5600450","2016-2020","WY",,,"Wyoming","56","Weston County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US56045",,,"Weston County, Wyoming",6942,6809,6293,44,40,113,118,0,201,0,201,133,125,0,0,0,3,5,0,0,0,53333,"Weston County, Wyoming",,82,17,46,67,113,138,17,135,17,135,82,82,17,17,17,5,8,17,17,17,12276
"G7200010","2016-2020","PR",,,"Puerto Rico","72","Adjuntas Municipio","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72001",,,"Adjuntas Municipio, Puerto Rico",17614,72,65,0,7,0,0,0,0,0,0,17542,12748,255,14,2,0,3866,657,475,182,14253,"Adjuntas Municipio, Puerto Rico",,47,46,23,12,23,23,23,23,23,23,47,687,150,18,6,23,634,303,244,161,1303
"G7200030","2016-2020","PR",,,"Puerto Rico","72","Aguada Municipio","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72003",,,"Aguada Municipio, Puerto Rico",37307,2732,2334,0,74,0,0,82,242,0,242,34575,26176,993,38,17,0,1095,6256,651,5605,16802,"Aguada Municipio, Puerto Rico",,496,475,30,89,30,30,100,146,30,146,496,1258,361,63,27,30,456,1146,325,1109,1131
"G7200050","2016-2020","PR",,,"Puerto Rico","72","Aguadilla Municipio","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72005",,,"Aguadilla Municipio, Puerto Rico",51552,1134,727,94,0,30,14,111,158,60,98,50418,39656,1661,76,0,0,6656,2369,1975,394,16065,"Aguadilla Municipio, Puerto Rico",,343,337,77,34,36,22,87,83,93,71,343,1137,379,56,34,34,829,540,512,209,1007
"G7200070","2016-2020","PR",,,"Puerto Rico","72","Aguas Buenas Municipio","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72007",,,"Aguas Buenas Municipio, Puerto Rico",25298,140,93,19,0,0,0,0,28,28,0,25158,11378,2190,168,0,0,1697,9725,350,9375,20190,"Aguas Buenas Municipio, Puerto Rico",,94,83,29,27,27,27,27,44,44,27,94,1122,705,152,27,27,556,1048,319,1033,1985
"G7200090","2016-2020","PR",,,"Puerto Rico","72","Aibonito Municipio","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72009",,,"Aibonito Municipio, Puerto Rico",22545,113,64,0,0,24,0,25,0,0,0,22432,14506,3519,74,0,0,1514,2819,2807,12,20631,"Aibonito Municipio, Puerto Rico",,98,58,27,27,41,27,39,27,27,27,98,946,659,95,27,27,500,760,761,19,1718
"G7200110","2016-2020","PR",,,"Puerto Rico","72","Añasco Municipio","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72011",,,"Añasco Municipio, Puerto Rico",26555,1295,1135,0,0,0,1,76,83,0,83,25260,18875,519,0,0,0,1525,4341,690,3651,20167,"Añasco Municipio, Puerto Rico",,300,274,27,27,27,4,56,135,27,135,300,911,223,27,27,27,642,893,371,806,1610
"G7200130","2016-2020","PR",,,"Puerto Rico","72","Arecibo Municipio","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72013",,,"Arecibo Municipio, Puerto Rico",83682,619,415,37,11,6,0,121,29,0,29,83063,55647,3381,51,721,0,17260,6003,5383,620,19266,"Arecibo Municipio, Puerto Rico",,249,235,36,17,10,34,90,46,34,46,249,1813,609,49,256,34,1563,944,915,320,960
"G7200150","2016-2020","PR",,,"Puerto Rico","72","Arroyo Municipio","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72015",,,"Arroyo Municipio, Puerto Rico",17502,34,34,0,0,0,0,0,0,0,0,17468,10930,4536,0,0,0,1238,764,454,310,16206,"Arroyo Municipio, Puerto Rico",,43,43,23,23,23,23,23,23,23,23,43,945,873,23,23,23,463,301,254,164,2565
"G7200170","2016-2020","PR",,,"Puerto Rico","72","Barceloneta Municipio","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72017",,,"Barceloneta Municipio, Puerto Rico",23913,141,90,0,0,0,0,51,0,0,0,23772,16728,805,0,154,0,3760,2325,2210,115,17815,"Barceloneta Municipio, Puerto Rico",,118,80,27,27,27,27,82,27,27,27,118,1059,346,27,130,27,800,648,633,180,1738
"G7200190","2016-2020","PR",,,"Puerto Rico","72","Barranquitas Municipio","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US72019",,,"Barranquitas Municipio, Puerto Rico",28026,34,34,0,0,0,0,0,0,0,0,27992,21515,1444,17,0,0,1211,3805,1328,2477,18924,"Barranquitas Municipio, Puerto Rico",,54,54,27,27,27,27,27,27,27,27,54,1057,511,27,27,27,473,847,476,780,2201
